interaction_id,n_cliente,date,month,weekday,hour,answered
48580068,3435dafdbf794ba3be149ca97a07a160,06/12/2020,DEZEMBRO,DOMINGO,00,1
47862954,b4afd1996a7e499f8f87361f367c9aeb,22/10/2020,OUTUBRO,QUINTA-FEIRA,10,1
136465875,bc424f7062ca42df81c40bcc8205f48b,14/10/2020,OUTUBRO,QUARTA-FEIRA,09,0
127071255,776871c9b81b4998aa63a04b0311977a,27/05/2020,MAIO,QUARTA-FEIRA,16,0
138355701,939231f725a1408c9afec87aa7419f6f,16/11/2020,NOVEMBRO,SEGUNDA-FEIRA,14,0
136874915,4c5738ac72a54e18bcc356f8d5716853,21/10/2020,OUTUBRO,QUARTA-FEIRA,13,1
123832675,c4a2f69f8c2e40a29bca3d95ac3ba316,21/04/2020,ABRIL,TERCA-FEIRA,08,1
47122870,c09699189dd048089fd2816055d2c0e7,07/09/2020,SETEMBRO,SEGUNDA-FEIRA,16,1
134516669,076d5257903542219890276142913ff6,01/10/2020,OUTUBRO,QUINTA-FEIRA,13,0
121785631,15981485c0ea4780b8d28454f214b24d,03/04/2020,ABRIL,SEXTA-FEIRA,15,1
120654989,dd63273b339f4d22aecadacfdce6348e,25/03/2020,MARCO,QUARTA-FEIRA,10,0
139670129,e87d305b09c7405a8e5e121d820b693d,10/12/2020,DEZEMBRO,QUINTA-FEIRA,17,1
119658409,28569a7370d44b7fbe92134d90e9f330,11/03/2020,MARCO,QUARTA-FEIRA,09,0
45080410,0aa9e4852ad14d0384b7cde5d6dcdb6d,27/05/2020,MAIO,QUARTA-FEIRA,17,1
139699695,ede9a63bd6914d8c95fd7225a1d94756,11/12/2020,DEZEMBRO,SEXTA-FEIRA,11,0
131808285,f20c5b32c82a44e38b9b689d6d0fc38d,14/08/2020,AGOSTO,SEXTA-FEIRA,10,0
45076386,3c97e5fb8cc7445fa09cc0fa4231a320,27/05/2020,MAIO,QUARTA-FEIRA,15,1
134589345,4d87c231784044ec8cfa3289d72664cc,02/10/2020,OUTUBRO,SEXTA-FEIRA,11,1
46578518,d6d15f0a48b04683bd06c60526e9f0c1,01/08/2020,AGOSTO,SABADO,08,1
123422461,f3d5ceb1e8bf4088bd24d1c37a2bc257,15/04/2020,ABRIL,QUARTA-FEIRA,07,0
133481893,9f9adfcb0d5541de96cec459c3a4735c,14/09/2020,SETEMBRO,SEGUNDA-FEIRA,13,1
137945169,48b585eeaaa74f49b4999153be898901,09/11/2020,NOVEMBRO,SEGUNDA-FEIRA,13,0
44808212,bd456e061abc46069d1716a8ab5b5dbb,18/05/2020,MAIO,SEGUNDA-FEIRA,16,1
48106908,044b66daadb84aaf837dc5f3799571a4,09/11/2020,NOVEMBRO,SEGUNDA-FEIRA,13,1
139015445,776b3cb9d8144952bd4f4d20321b3745,27/11/2020,NOVEMBRO,SEXTA-FEIRA,16,0
45034660,6657241c0c5b4c48a049e86c34855bfc,25/05/2020,MAIO,SEGUNDA-FEIRA,00,1
130844531,cd8b1e4377334ed198a37780f49fa2fe,28/07/2020,JULHO,TERCA-FEIRA,13,0
136839735,40897170c9d547c583fbbf0492cc78df,21/10/2020,OUTUBRO,QUARTA-FEIRA,08,1
41886832,62e5244abf4345ac8a3b0a70caa59972,29/03/2020,MARCO,DOMINGO,11,1
140637663,0f5a23e366434e6381873d02f61d6da9,30/12/2020,DEZEMBRO,QUARTA-FEIRA,19,1
123833025,c4a2f69f8c2e40a29bca3d95ac3ba316,21/04/2020,ABRIL,TERCA-FEIRA,08,0
121711469,5ac87b2021e44cd99b2c7cf3b6da4b3b,03/04/2020,ABRIL,SEXTA-FEIRA,10,0
44443630,6844c3514dc54f04a47ef4f6a9f2e8ab,02/05/2020,MAIO,SABADO,17,1
139382869,e221691bb84649a08255fb12e5afbb3d,04/12/2020,DEZEMBRO,SEXTA-FEIRA,14,1
140542445,8f0cc5993b464fdca4aded12b34e4768,29/12/2020,DEZEMBRO,TERCA-FEIRA,15,1
120859793,dd63273b339f4d22aecadacfdce6348e,26/03/2020,MARCO,QUINTA-FEIRA,18,0
138427837,41ee1f1959324992b9792c09ebbe5194,17/11/2020,NOVEMBRO,TERCA-FEIRA,15,1
118271621,d82845a7378844aa80dc5a1232c3d32c,18/02/2020,FEVEREIRO,TERCA-FEIRA,13,0
140312135,3105dcda66b1459081309d62267b8ae5,23/12/2020,DEZEMBRO,QUARTA-FEIRA,13,0
46440764,5ce095386bc647a7b7c7734bb948ae79,17/07/2020,JULHO,SEXTA-FEIRA,15,1
137986493,5855a4da1dfd45febb31ea88ba1f74b3,10/11/2020,NOVEMBRO,TERCA-FEIRA,09,1
43483222,c4a2f69f8c2e40a29bca3d95ac3ba316,21/04/2020,ABRIL,TERCA-FEIRA,12,1
139075075,38841307eb5f4102b0ac6902e0d35fda,29/11/2020,NOVEMBRO,DOMINGO,14,0
48555828,f88d6e2134d44b7ea5bb95a6bad12790,03/12/2020,DEZEMBRO,QUINTA-FEIRA,15,1
48130028,2ef54dc0856947b3b4797cbaf5df43a7,10/11/2020,NOVEMBRO,TERCA-FEIRA,13,1
139485625,098903d9d01744d68b08297d97a424ad,07/12/2020,DEZEMBRO,SEGUNDA-FEIRA,15,1
140029465,cdb1d5e1f5834755bb09216666aa77e6,17/12/2020,DEZEMBRO,QUINTA-FEIRA,15,1
138919561,1da9f1498eb142398fb1c316d3529065,26/11/2020,NOVEMBRO,QUINTA-FEIRA,11,1
140317639,5ab4976fd0694663b84bef9f5a6f733c,23/12/2020,DEZEMBRO,QUARTA-FEIRA,14,1
46448100,c451eee1eba24c5ea4d9b3c4f79cff9a,20/07/2020,JULHO,SEGUNDA-FEIRA,02,1
140689927,cd8b1e4377334ed198a37780f49fa2fe,31/12/2020,DEZEMBRO,QUINTA-FEIRA,16,0
46982618,37aa99081e3e428dbd01f9ca4ae9ea4d,31/08/2020,AGOSTO,SEGUNDA-FEIRA,12,1
46638670,d6d15f0a48b04683bd06c60526e9f0c1,07/08/2020,AGOSTO,SEXTA-FEIRA,07,1
125539747,d1e8667df91c4daea6763620aaac80bf,06/05/2020,MAIO,QUARTA-FEIRA,10,1
